roi1,roi2,roi3,roi4,roi5,roi6,roi7,roi8,roi9,roi10,roi11,roi12
-1.682431,-2.681743,-0.6861456,1.687449,-0.6816723,0.6876876,0.453039,2.68735,0.0615028,-1.03619,-1.688967,-0.4552665
-1.681235,-1.684965,-0.686329,0.9963439,-0.854343,0.4543627,-0.6825826,3.686949,-0.6843023,-0.821468,-1.88794,-0.0914117
-0.9973453,-1.680071,-0.6840791,0.6860373,-0.897079,-0.0523035,-2.458373,2.996139,-0.4592545,-0.4548031,-2.685366,0.6874261
-0.6826621,-1.683454,-0.0485655,0.6841158,-0.6855948,-0.4508707,-3.686558,1.06862,-0.4592837,0.6883284,-3.455503,0.6854872
-0.4584319,-2.689398,-0.685207,-0.6871162,-0.6840312,-0.6894471,-2.681417,-1.680455,0.0327175,0.4528458,-4.08585,0.6858496
-0.9943247,-3.458887,-0.6890873,-1.681739,0.4520217,-0.0572421,-1.09149,-2.87885,0.4516626,0.4521002,-4.454421,0.6809602
-1.81844,-4.00306,-0.6824659,-2.686293,0.6823412,0.6806494,0.6848321,-2.88943,0.4588324,0.455103,-4.687144,-0.4568332
-2.452483,-3.89452,-0.824343,-3.45613,0.9945323,0.6896576,1.83854,-1.683232,0.6858727,0.0670973,-3.45134,-0.884602
-2.685404,-2.682765,-0.6841836,-2.993844,0.861648,0.685385,2.680651,0.4513888,0.4519509,-0.0316508,-2.459846,-0.9935665
-2.685564,-0.6844831,-0.4534191,-1.682657,0.6864123,-0.0333068,1.687596,1.45626,0.6847434,0.041643,-1.83783,-0.6894979
-0.9952065,1.682516,-0.6854785,-1.450246,0.4530487,-0.6817629,0.6829382,1.680565,0.6861987,0.6865165,-1.456211,-0.000662591
0.6849047,3.681756,0.0864937,-1.453255,0.6873231,-0.6814146,-0.6884862,0.0783529,0.4543756,0.4566659,-1.03228,0.6825957
2.684732,3.998082,0.4572486,-2.455684,-0.0928538,-0.834209,-1.459514,-0.9953908,0.4598462,0.4590057,-1.06552,1.07307
3.02896,4.688217,0.4504345,-4.07325,-0.6859836,-0.861549,-2.03653,-1.684403,-0.0705344,0.4544374,-1.05032,1.450034
2.996809,3.992054,0.457905,-5.684655,-0.6839453,-0.807519,-2.689657,-0.6862323,-0.4551557,0.688392,-0.9965663,0.9964302
1.682332,3.683645,0.4574339,-4.85953,-0.6840323,-0.4512584,-2.451955,0.6854292,-0.6873558,0.6858951,-0.84163,0.4524931
0.6815924,2.457238,0.6865575,-3.687614,-0.6841628,-0.0948389,-1.450062,1.683253,-0.6826437,0.6865133,-0.6812095,-0.4564233
-0.834616,1.687683,0.6862313,-0.848856,-0.0321644,0.6811088,-0.4535563,1.680462,0.6834445,0.450376,0.6861551,-0.888798
-1.452469,0.4505582,-0.0733498,1.04846,0.4518439,0.6820556,0.6803405,0.9934174,0.451873,0.6883347,1.451249,-1.454279
-1.02769,-0.806195,-0.4548003,1.88303,0.4560078,-0.0543355,0.450006,0.685686,0.4565727,0.0323169,2.00957,-1.451853
0.6854565,-1.459367,-0.4590526,1.687127,0.0610965,-0.6808326,-1.07611,-0.6836475,-0.6851185,-0.0271513,2.68953,-0.870059
1.682513,-1.86284,-0.6897513,0.4562309,-0.4564629,-0.6803633,-3.458752,-0.6870349,-1.682849,-0.6838526,2.04697,-0.4500427
2.689736,-2.683666,-0.0395338,-0.0650058,-0.6826365,-0.6840598,-5.680904,-0.6839887,-1.683065,-0.6874757,0.891155,-0.0624685
2.683506,-2.686093,0.0623952,0.6865865,-0.6873542,-0.451335,-5.456021,0.0317121,-1.687119,-0.6803505,-0.863733,-0.0347004
1.685832,-2.451544,0.0945276,1.06989,-0.6886274,-0.6897003,-3.998092,-0.6807078,-0.6820378,0.0652689,-2.459369,-0.4571643
-0.0849566,-1.995651,0.00367452,2.09724,-0.0860535,0.0306884,-1.457607,-0.6832655,-0.4509662,0.458204,-3.03293,-0.6841052
-1.686292,-0.807368,-0.6829135,2.80047,0.6866132,0.6854403,1.456859,-0.6891689,0.6897041,0.4570482,-2.682906,-0.9918083
-1.995362,1.454048,-0.4511003,3.08945,0.455893,0.4546544,3.455529,-0.4565749,0.685066,0.684496,-1.456543,-0.9978895
-1.685557,3.687604,-0.6892923,3.453582,0.6897865,0.6837687,3.89344,-0.0320738,0.6854105,0.4534065,0.6834596,-0.849498
-0.6815627,5.07354,-0.0872611,3.689052,0.0788535,0.4558491,4.03657,0.4562686,0.6871039,0.6810785,1.453272,-0.6855591
0.886913,6.05711,0.0435641,4.45693,0.00557829,0.6880656,4.68034,0.6875908,0.895673,-0.6878919,1.06873,-0.6805968
2.681275,6.684755,0.6826569,5.04409,0.0348854,0.6830383,5.689474,0.0769625,1.458804,-0.9909407,-0.6832532,-0.4502521
2.682784,7.683425,0.6824218,5.6803,0.0621679,0.6841962,7.02872,-0.4572966,1.689275,-1.680943,-2.684534,-0.4549113
3.684309,9.686637,0.0408088,5.682418,0.0706915,0.681739,7.686955,-0.6822145,1.683448,-1.453429,-3.680882,0.0491675
